,sigma8,Omega_cdm,Omega_b,h,n_s,tau
0,0.80097945,0.26327177,0.0493366,0.67505419,0.96300546,0.043377166
1,0.79658427,0.27614361,0.050419671,0.66522171,0.95569831,0.031104553
2,0.80416816,0.27793599,0.050665654,0.66490088,0.95701755,0.035269235
3,0.79757833,0.27422116,0.050467189,0.66665647,0.95737848,0.035559528
4,0.79813075,0.26969865,0.050085756,0.67022969,0.95555586,0.03841117
5,0.79899787,0.27169566,0.050183422,0.66905448,0.95548873,0.038186635
6,0.80007609,0.27141612,0.050094114,0.66910395,0.95699845,0.03899069
7,0.80661081,0.28014362,0.050853443,0.66229829,0.95614539,0.03833272
8,0.8073668,0.27994681,0.050826948,0.66234498,0.95629468,0.039750295
9,0.8003835,0.27543071,0.050189841,0.66515453,0.95844239,0.034895049
10,0.80928649,0.27484298,0.050035777,0.66443631,0.96120328,0.049003306
11,0.81839912,0.27205437,0.050040179,0.66772711,0.96059355,0.058768985
12,0.81848135,0.27237877,0.050027427,0.66757478,0.96068275,0.058172856
13,0.82080956,0.27070612,0.049675827,0.66868152,0.96195724,0.061880742
14,0.81983634,0.27154194,0.049798222,0.66825312,0.96072197,0.060438066
15,0.82033914,0.270858,0.049800792,0.66889048,0.96107725,0.060545026
16,0.81914568,0.26844422,0.049632283,0.67094897,0.96160752,0.060289777
17,0.8162848,0.26480342,0.049444209,0.67405902,0.96761201,0.058190979
18,0.81482284,0.26592377,0.049542982,0.67376168,0.96656095,0.054549958
19,0.81242532,0.26408865,0.049460944,0.67469686,0.96743097,0.055352212
20,0.80949251,0.25751879,0.048963268,0.6806505,0.96577854,0.056384446
21,0.80901877,0.26361902,0.049071294,0.67491301,0.95879366,0.053757236
22,0.80876645,0.27175445,0.049726342,0.66900936,0.95690335,0.046315734
23,0.81666886,0.27398038,0.049904416,0.667217,0.9576291,0.05614057
24,0.80856132,0.27453203,0.049851841,0.66572654,0.95097997,0.046410646
25,0.80906078,0.27159445,0.049613337,0.66787981,0.95310981,0.050406527
26,0.81026896,0.27075621,0.049556121,0.66870173,0.95517983,0.050863935
27,0.81069109,0.27652679,0.05004358,0.66432918,0.95520025,0.04537796
28,0.81163376,0.27295255,0.049838467,0.66722898,0.95750128,0.046936622
29,0.80112407,0.2685142,0.049549314,0.67065832,0.95683062,0.040421936
30,0.80117887,0.27101173,0.049789269,0.66881161,0.95542272,0.03899232
31,0.80292725,0.2731812,0.050172226,0.66657174,0.95600511,0.041420202
32,0.81535803,0.2733016,0.050003144,0.66625775,0.9661992,0.054584416
33,0.81523509,0.27461438,0.050128639,0.66540788,0.96594783,0.052740246
34,0.80980916,0.27297759,0.049855136,0.66677267,0.96596026,0.045052573
35,0.8117523,0.27399919,0.049946386,0.66616487,0.96600712,0.045588002
36,0.81142502,0.26630623,0.049549961,0.6733776,0.96114142,0.050914477
37,0.81321221,0.2632516,0.049404908,0.67546677,0.96245035,0.052690942
38,0.81587259,0.2637572,0.049301324,0.67471832,0.96105406,0.055899577
39,0.81469916,0.26098755,0.049162105,0.67714753,0.96100006,0.057268069
40,0.81259558,0.26267168,0.048713736,0.6731419,0.96543549,0.059554686
41,0.81216196,0.26543415,0.048893055,0.67108503,0.96473488,0.05611864
42,0.81178196,0.27041632,0.049486997,0.66767566,0.96104762,0.049660508
43,0.81599227,0.27351739,0.049897653,0.66596491,0.9590859,0.055164573
44,0.81399983,0.27336792,0.049992507,0.66669415,0.96170177,0.050164918
45,0.80919629,0.25713017,0.048408134,0.67944721,0.97068652,0.058240946
46,0.80325643,0.25883744,0.048567656,0.67794835,0.97079342,0.0511596
47,0.80185808,0.26442077,0.049245692,0.67417503,0.96552488,0.041921968
48,0.79983359,0.26349323,0.049118395,0.67442077,0.96348198,0.041713707
49,0.80201534,0.26085549,0.048959939,0.67649911,0.95895559,0.051532803
50,0.80047503,0.25752512,0.048616434,0.67877838,0.96078165,0.053094124
51,0.79851848,0.25606065,0.048525054,0.67998213,0.96026839,0.051312969
52,0.80492407,0.27575707,0.050286131,0.6648142,0.95383656,0.047274289
53,0.81204838,0.26072482,0.048866015,0.67609853,0.96760293,0.066227716
54,0.8104241,0.26438206,0.049176301,0.67290517,0.96748712,0.063781487
55,0.80398404,0.25499852,0.048086225,0.67940977,0.97112881,0.059493875
56,0.79803655,0.25486384,0.048163894,0.68041367,0.97235835,0.049592211
57,0.795309,0.25508848,0.048132693,0.68063422,0.96767471,0.043042474
58,0.79589303,0.25821927,0.048609898,0.67907653,0.96678588,0.040445084
59,0.7976089,0.25476324,0.04829856,0.68153229,0.96903866,0.046461204
60,0.79843865,0.25519917,0.048264745,0.68112888,0.97027938,0.046054784
61,0.79603149,0.25132429,0.047857983,0.68414127,0.97073964,0.045998377
62,0.79677047,0.24885261,0.047673007,0.68607167,0.97219746,0.049283143
63,0.80229643,0.25430511,0.048184768,0.68178934,0.97370333,0.049509743
64,0.80205473,0.26116661,0.048728037,0.67622121,0.96833043,0.049360332
65,0.80360119,0.26127648,0.048787225,0.67621941,0.96806481,0.05106374
66,0.80729208,0.26279744,0.049070351,0.67541553,0.96626973,0.05317685
67,0.80963483,0.26666582,0.049353334,0.67216065,0.96157112,0.054043228
68,0.81110955,0.2635345,0.04932497,0.67538614,0.96147146,0.05211896
69,0.81489772,0.2666785,0.049618434,0.67219565,0.96004473,0.058565395
70,0.81240188,0.2580179,0.048650166,0.67828468,0.96270783,0.062959753
71,0.81210824,0.25785412,0.04864766,0.67842109,0.96265906,0.062554884
72,0.81201502,0.25769214,0.048637782,0.67856087,0.9627773,0.062618794
73,0.81026992,0.25747681,0.048605806,0.6784064,0.96322336,0.061722761
74,0.80999322,0.25556582,0.048455176,0.67999065,0.96466441,0.063725664
75,0.80894488,0.2554212,0.048515291,0.6801965,0.96600533,0.062354663
76,0.80938213,0.25478468,0.048445191,0.68080834,0.96668842,0.062399516
77,0.80876896,0.25383287,0.048341498,0.68157128,0.96732008,0.062887564
78,0.80827617,0.26145419,0.049414997,0.67601524,0.96693996,0.055032947
79,0.80840494,0.25937855,0.049271791,0.67783058,0.9675213,0.054697036
80,0.81140031,0.28192418,0.050841925,0.65963878,0.96068607,0.043990311
81,0.81676585,0.27946422,0.050618109,0.66198258,0.96501603,0.050468021
82,0.81682024,0.28208945,0.050885132,0.66021341,0.96400985,0.049137894
83,0.81733681,0.28242792,0.05089071,0.65988559,0.96345549,0.049522949
84,0.81668453,0.27674838,0.050343345,0.66416234,0.96663328,0.051024368
85,0.81508954,0.2552644,0.048542747,0.68118901,0.97450829,0.066988074
86,0.81538215,0.25118417,0.048371818,0.68449129,0.97602274,0.070185647
87,0.81554096,0.25950637,0.049196193,0.67859026,0.96086763,0.063308468
88,0.815833,0.25971568,0.049214751,0.67839619,0.96075299,0.063667027
89,0.82269116,0.24943418,0.048054117,0.68574028,0.97457044,0.082214639
90,0.82333785,0.2500187,0.048079561,0.68528686,0.97401593,0.082729836
91,0.82522396,0.25144174,0.048308327,0.68441381,0.97294643,0.079772015
92,0.82840713,0.25494365,0.048512938,0.68144263,0.97160106,0.080284318
93,0.82831085,0.25528795,0.048566026,0.68106505,0.97154624,0.080734056
94,0.81870426,0.25222281,0.048331238,0.68301217,0.96810799,0.071210627
95,0.81860599,0.2523387,0.048326531,0.68291809,0.96781897,0.071167565
96,0.81932513,0.25826758,0.048840152,0.67844143,0.96545653,0.065607924
97,0.81334234,0.26277884,0.049402134,0.67520512,0.96029309,0.05447932
98,0.81406821,0.26324499,0.049468773,0.67506769,0.96068875,0.054299913
99,0.81404572,0.2632951,0.049472055,0.67502389,0.96069321,0.054245197
100,0.81265368,0.26224508,0.049348479,0.67577346,0.96062468,0.053992661
101,0.81242126,0.25754537,0.048909518,0.6795806,0.96486597,0.056408224
102,0.81182338,0.25750689,0.048821434,0.67935796,0.96458794,0.053754924
103,0.81918774,0.25245298,0.048401642,0.68376543,0.97463953,0.063885621
104,0.81471966,0.25120743,0.048215262,0.68486116,0.97552514,0.062052904
105,0.81319979,0.25031147,0.048208442,0.6853525,0.97637552,0.062256182
106,0.81367081,0.25383831,0.048403673,0.68221031,0.97596166,0.059576734
107,0.81817229,0.25587798,0.048559714,0.68045512,0.97449729,0.065091227
108,0.81841044,0.25858707,0.048865177,0.67869303,0.9733252,0.065065429
109,0.81411728,0.2584092,0.048900298,0.67804688,0.97063202,0.064480434
110,0.81421639,0.25595796,0.048694256,0.67988874,0.97374231,0.06641238
111,0.81395779,0.25610243,0.048737585,0.67976718,0.9735238,0.067333975
112,0.80666263,0.25649802,0.048739771,0.68059398,0.96442618,0.058222597
113,0.80642908,0.2579441,0.048943186,0.67991324,0.96532236,0.054345591
114,0.80464733,0.26147331,0.049309661,0.6770972,0.96196943,0.049834097
115,0.80331062,0.26138417,0.049266688,0.67713662,0.96185028,0.048814136
116,0.80327194,0.26098736,0.049235906,0.67745909,0.96207901,0.049243368
117,0.80250639,0.26092856,0.049227362,0.67740069,0.96169269,0.048905353
118,0.80243907,0.26091534,0.049226918,0.67741356,0.96170815,0.048829232
119,0.80574192,0.2641396,0.049349355,0.67442921,0.96563429,0.048302132
120,0.80748416,0.26418986,0.049391062,0.6744853,0.965885,0.050186308
121,0.81051736,0.25903416,0.048748773,0.67864825,0.96751749,0.055966916
122,0.80912304,0.26074273,0.048926742,0.6773657,0.96655118,0.052983409
123,0.80575422,0.25753445,0.04864404,0.6797204,0.9660818,0.052051209
124,0.80716163,0.26148408,0.048876773,0.67630623,0.96294087,0.0519916
125,0.80677715,0.26160025,0.048887845,0.67626478,0.96278123,0.051720445
126,0.80665177,0.26128486,0.048862663,0.67659088,0.96294256,0.051393009
127,0.80638418,0.26072119,0.048794645,0.67699461,0.96276764,0.05163711
128,0.80767339,0.267703,0.049376447,0.67088341,0.95814743,0.048666424
129,0.80780178,0.26746216,0.049350244,0.67103547,0.9583039,0.04890462
130,0.81189045,0.2664048,0.049114687,0.67188905,0.95834732,0.055326753
131,0.80438894,0.24731722,0.047669772,0.68733188,0.96877246,0.064525697
132,0.80413291,0.24651518,0.047558261,0.68831722,0.97034541,0.062341875
133,0.80546809,0.24378611,0.047369398,0.68988258,0.96847037,0.068597901
134,0.80593793,0.24465803,0.047501998,0.68944431,0.96716963,0.067903888
135,0.80251783,0.24458302,0.047513137,0.68994794,0.97132285,0.062779731
136,0.80371894,0.25152275,0.047767504,0.68351486,0.96864001,0.05785519
137,0.80252187,0.25110253,0.04772079,0.68377499,0.9692373,0.057937528
138,0.80584253,0.25383972,0.047841767,0.68138893,0.96882576,0.060670375
139,0.80477712,0.25308111,0.047752482,0.68194466,0.96905766,0.060304531
140,0.80400313,0.25218944,0.047693864,0.68286217,0.96603982,0.057705478
141,0.81330765,0.25948105,0.048448217,0.67757109,0.96714459,0.057328542
142,0.81053877,0.26164678,0.04862964,0.67556857,0.96299225,0.053052223
143,0.81031527,0.25545934,0.048585676,0.6809367,0.97003839,0.058606049
144,0.81567527,0.25606886,0.048649162,0.68026332,0.9694187,0.064604183
145,0.81806121,0.26274716,0.049264306,0.67520696,0.96695116,0.062251587
146,0.81319431,0.26219607,0.049057931,0.67540826,0.9698961,0.056525174
147,0.8120009,0.27123026,0.049904984,0.66855012,0.96558911,0.051472443
148,0.80790878,0.26493732,0.049341671,0.6742212,0.9657953,0.051476261
149,0.79787497,0.25453656,0.0485665,0.68255371,0.96389375,0.04931762
150,0.79664789,0.25759624,0.049029612,0.67970483,0.962339,0.04944253
151,0.79566963,0.25677307,0.048904316,0.68018886,0.96287955,0.049597161
152,0.79397443,0.25818298,0.049019502,0.67909501,0.96228289,0.046248941
153,0.81699114,0.26687207,0.050011089,0.67206356,0.96344903,0.062904522
154,0.81502148,0.26693898,0.049978696,0.67160055,0.9645601,0.060668259
155,0.81357613,0.26875853,0.050169485,0.67011309,0.9632739,0.058661474
156,0.81355369,0.26903545,0.050186589,0.66987115,0.96329483,0.058346352
157,0.80330213,0.27495411,0.050575409,0.66532368,0.95856578,0.041523008
158,0.812253,0.27308978,0.049943909,0.66753049,0.96167901,0.048204107
159,0.81118324,0.27142342,0.049839278,0.6687646,0.96160889,0.046701905
160,0.81211337,0.27217308,0.049881674,0.66819548,0.96187064,0.046560156
161,0.81345233,0.26793119,0.049790596,0.67190778,0.96142743,0.051770212
162,0.80887906,0.2633299,0.049450973,0.67501876,0.9660898,0.051227088
163,0.8115137,0.26726605,0.049592802,0.67150523,0.96657095,0.053130031
164,0.80954158,0.26328247,0.049212826,0.67472402,0.96722724,0.053313314
165,0.80953044,0.26332807,0.049215428,0.6746903,0.96717044,0.053249027
166,0.80904665,0.26141597,0.048930001,0.6757167,0.96960066,0.055553089
167,0.81298077,0.26128855,0.048939311,0.67599335,0.97124542,0.059055837
168,0.81291509,0.26125539,0.048933316,0.67600024,0.97119248,0.059015522
169,0.81286889,0.26696629,0.04939571,0.67182765,0.96354822,0.058041805
170,0.81231811,0.27402308,0.050085931,0.66671382,0.9598413,0.048755939
171,0.8177076,0.27871075,0.050459485,0.66275609,0.95864503,0.052411892
172,0.81609389,0.27629452,0.050239151,0.66472991,0.95909397,0.051372064
173,0.81845622,0.27409211,0.050121539,0.66634474,0.9595636,0.055231931
174,0.81805031,0.27720448,0.050341502,0.66388085,0.95789509,0.052259741
175,0.81662779,0.27615557,0.050323688,0.66522044,0.96027023,0.048529264
176,0.8129265,0.27433903,0.05003405,0.66617088,0.96146586,0.045932141
177,0.81221884,0.27344791,0.049959956,0.66694738,0.96153826,0.045917565
178,0.81417413,0.27430785,0.05003855,0.66609977,0.95867221,0.049446981
179,0.81436173,0.27372281,0.049981714,0.66661121,0.95925044,0.049558649
180,0.81373817,0.27457796,0.050047925,0.66583937,0.95933239,0.048508457
181,0.81586916,0.27644105,0.050139015,0.66404851,0.95776019,0.05002294
182,0.81644518,0.27654764,0.050226665,0.66456184,0.95706116,0.052372432
183,0.81617781,0.27710275,0.050273217,0.66410727,0.9566591,0.051641231
184,0.81028487,0.27538419,0.049998996,0.66526041,0.95664732,0.044327007
185,0.80987481,0.27653763,0.050090613,0.66429854,0.95630718,0.043426303
186,0.80929481,0.27454029,0.049898391,0.66603448,0.957379,0.045601393
187,0.80910768,0.27334773,0.049837645,0.66704802,0.95909822,0.045616102
188,0.80908821,0.27331508,0.049832429,0.66707252,0.95902667,0.045594886
189,0.80747252,0.27387051,0.049897105,0.6666096,0.95861332,0.043344764
190,0.80719108,0.27122868,0.049700357,0.66865302,0.95985448,0.044529443
191,0.80758909,0.26932294,0.049543126,0.67036,0.96169441,0.045146983
192,0.80856414,0.27452905,0.050195701,0.66653624,0.96102031,0.041957412
193,0.8042675,0.26818927,0.049755958,0.67121782,0.96357145,0.041898866
194,0.80392286,0.26810012,0.049744964,0.67127735,0.96367144,0.041486881
195,0.80108638,0.26850175,0.049672489,0.67069312,0.96351418,0.039249705
196,0.79906767,0.26911761,0.04968468,0.6701064,0.96288032,0.037407515
197,0.79904139,0.26912828,0.049685599,0.67009666,0.96289639,0.037356428
198,0.80204233,0.27320976,0.049975185,0.66713184,0.96192273,0.03648653
199,0.80546824,0.26939262,0.049570638,0.67008977,0.96100246,0.042336753
200,0.80475992,0.27016676,0.049639339,0.66953828,0.96151027,0.041331099
201,0.80242493,0.2687987,0.049750049,0.67101937,0.9594134,0.041867176
202,0.80249612,0.26953906,0.049834521,0.67057544,0.95933016,0.040878858
203,0.80522362,0.26320699,0.049378029,0.67550243,0.9632066,0.048983413
204,0.80326504,0.26313865,0.049235002,0.67496835,0.96371353,0.050088301
205,0.8029734,0.26133293,0.049166189,0.67635634,0.96438178,0.051862097
206,0.80713265,0.24848337,0.048008726,0.68703232,0.9742269,0.063597546
207,0.80517691,0.25479303,0.048458492,0.68179853,0.97454115,0.054666071
208,0.80680887,0.25681816,0.048572732,0.68028811,0.97268238,0.053232107
209,0.80667447,0.25689647,0.048580765,0.68023898,0.97257773,0.053053874
210,0.82148103,0.27223175,0.050037886,0.66851446,0.96729115,0.061155339
211,0.81051019,0.2573149,0.048795478,0.68027999,0.97051517,0.057979301
212,0.81035307,0.25693322,0.048741682,0.68044625,0.97186805,0.057564267
213,0.81177616,0.25558383,0.048584884,0.68151124,0.97189205,0.061194496
214,0.8117505,0.25497007,0.048440126,0.68191747,0.97297271,0.060771471
215,0.80967527,0.25421336,0.048367671,0.68256344,0.97320374,0.059450751
216,0.80740133,0.25420947,0.048336159,0.68226942,0.97271594,0.058211302
217,0.8156184,0.26372503,0.049154507,0.67424595,0.96570298,0.060255694
218,0.81335435,0.26437698,0.04926499,0.67404373,0.96311809,0.057277768
219,0.81352057,0.26452926,0.049272261,0.6739348,0.96315977,0.057227753
220,0.81885809,0.26710401,0.049460064,0.67180128,0.96288676,0.062159634
221,0.82139901,0.26902448,0.049461495,0.67052325,0.96339583,0.063184499
222,0.82086729,0.26812569,0.049383181,0.67132338,0.96378716,0.062488467
223,0.81098367,0.25916399,0.048774785,0.67804334,0.96798653,0.060659755
224,0.81257227,0.25205722,0.047885062,0.6829763,0.97277373,0.06762955
225,0.81091547,0.2495281,0.047706453,0.68510842,0.97408553,0.067553261
226,0.82016772,0.26594274,0.049059602,0.67216356,0.96213854,0.064465521
227,0.82742053,0.2633505,0.048916342,0.67425752,0.9643548,0.073448807
228,0.82844342,0.2650533,0.049255777,0.6734951,0.96360732,0.07463005
229,0.82865116,0.26604674,0.049250652,0.67214934,0.96646271,0.075843971
230,0.82860282,0.26553839,0.04920312,0.67254621,0.96666748,0.076229144
231,0.82567917,0.25802341,0.048731742,0.67807208,0.97072139,0.080323168
232,0.82354833,0.26332822,0.049156326,0.67403616,0.96880964,0.071827734
233,0.82387519,0.26071063,0.049115901,0.67709778,0.96803865,0.071816525
234,0.79870736,0.25310215,0.048414888,0.68269136,0.97107626,0.049659508
235,0.79874341,0.25358122,0.048445629,0.68228866,0.9708405,0.049467666
236,0.79880488,0.25375312,0.04842851,0.68190111,0.97007108,0.049232984
237,0.80005098,0.25160877,0.048129768,0.68369071,0.97141512,0.052566097
238,0.80015437,0.25162707,0.048122653,0.68363684,0.97142958,0.05291486
239,0.79978994,0.259834,0.049198787,0.67799143,0.9683532,0.04888736
240,0.80194886,0.26364596,0.049471696,0.67517032,0.96424108,0.048504941
241,0.80649757,0.26250516,0.049371386,0.67641992,0.96635224,0.053628868
242,0.80739868,0.26289173,0.049395579,0.67599595,0.96617558,0.054664274
243,0.80917572,0.26106448,0.04920977,0.67753771,0.96473427,0.055658374
244,0.81555591,0.26070411,0.048965189,0.67646867,0.97199563,0.061856754
245,0.81929871,0.26295259,0.049242706,0.67496576,0.9717091,0.063895993
246,0.81734148,0.26388619,0.049370278,0.67426692,0.97203331,0.060968794
247,0.81916554,0.25996931,0.04903972,0.6775696,0.97311754,0.067637411
248,0.81915573,0.25981679,0.04902383,0.67771517,0.97353442,0.067622306
249,0.80948924,0.25198284,0.048302375,0.68398815,0.97510439,0.062335454
250,0.80836769,0.2536753,0.048444191,0.6824614,0.97148227,0.062418795
251,0.81745512,0.25978973,0.04914022,0.67731611,0.96546756,0.064332093
252,0.80751688,0.25728475,0.048859889,0.68052341,0.96801547,0.055508701
253,0.80863689,0.26041321,0.049089083,0.67801253,0.96681212,0.054668622
254,0.81093426,0.2580394,0.048939682,0.67953829,0.96902394,0.06275316
255,0.81390469,0.25477001,0.048485457,0.68210363,0.96964408,0.068834339
256,0.8088599,0.25266752,0.04796257,0.68223498,0.96802229,0.065086514
257,0.80779501,0.25485026,0.048120045,0.68046907,0.96683792,0.062902047
258,0.80612725,0.25164646,0.047975316,0.68342345,0.96838358,0.061223851
259,0.81559781,0.26440525,0.049308457,0.67413134,0.96512596,0.060733246
260,0.81335244,0.26500983,0.049447888,0.67368677,0.96506809,0.057013131
261,0.81058273,0.2657584,0.04955221,0.67308788,0.96577517,0.055131876
262,0.8171788,0.26616018,0.049648286,0.67270328,0.96315289,0.062033075
263,0.81414464,0.26650242,0.049595254,0.67203963,0.96314968,0.059978517
264,0.80973738,0.25941937,0.048771544,0.67802315,0.96381048,0.059222983
265,0.80766991,0.25948565,0.048749222,0.67791438,0.96510755,0.054494116
266,0.80787211,0.25956865,0.04876178,0.67783444,0.96496413,0.054867435
267,0.81777069,0.26789978,0.04962025,0.67147297,0.96505379,0.05698326
268,0.81892475,0.26848453,0.04967524,0.67098506,0.96409446,0.05824934
269,0.81735074,0.2720562,0.049912524,0.66745647,0.9629039,0.054673622
270,0.81692242,0.2737612,0.050095337,0.66622539,0.96023446,0.052409599
271,0.81694427,0.27375926,0.05009533,0.66622834,0.96023757,0.052420906
272,0.81656909,0.27596888,0.050270269,0.66436672,0.96150276,0.049903127
273,0.81526273,0.27554706,0.050249924,0.66482988,0.9614906,0.048789478
274,0.81547182,0.27564352,0.050271641,0.66477187,0.96134097,0.048308577
275,0.81668083,0.27611993,0.050305183,0.66442997,0.96113174,0.049312256
276,0.81725443,0.2732908,0.050193741,0.66631579,0.96179435,0.054159864
277,0.81638966,0.27314665,0.050177714,0.66642617,0.96182751,0.053596152
278,0.8208684,0.27773204,0.050480092,0.66277649,0.95817872,0.058257271
279,0.82048302,0.2778805,0.050483296,0.6626065,0.95778637,0.057752832
280,0.81882112,0.27399086,0.050077164,0.66568013,0.95735417,0.05854357
281,0.81614217,0.27182249,0.049769498,0.66727631,0.96046934,0.055799551
282,0.81740449,0.27187128,0.04975848,0.6672388,0.96054431,0.056634045
283,0.81090683,0.27046419,0.049675642,0.66817031,0.9592022,0.051168587
284,0.80780312,0.26635034,0.049336308,0.67169298,0.9637033,0.047466918
285,0.80765231,0.26563047,0.04922849,0.67221932,0.96375055,0.047739916
286,0.80755288,0.26616717,0.049273183,0.67184774,0.96343606,0.047156491
287,0.80721176,0.27357342,0.049945706,0.665911,0.95802337,0.042464242
288,0.80510955,0.27328618,0.049897605,0.66603601,0.95819139,0.040413875
289,0.8061563,0.26553715,0.049371342,0.67233876,0.959221,0.046557009
290,0.80607177,0.26483011,0.049301598,0.67232172,0.96195284,0.053309998
291,0.80680815,0.26122569,0.04895406,0.6750242,0.96495024,0.056084035
292,0.81486977,0.25662305,0.048535096,0.67939952,0.96750535,0.068140814
293,0.81755296,0.25788167,0.048784829,0.67886205,0.96576306,0.067975246
294,0.81714205,0.2593879,0.04891957,0.6776408,0.96431218,0.066850554
295,0.81302571,0.25712272,0.048697885,0.67975969,0.96463204,0.063010807
296,0.81508427,0.2570775,0.048667715,0.68002838,0.96632846,0.066227569
297,0.81258273,0.26002175,0.048882039,0.67746957,0.96770608,0.060192595
298,0.80929788,0.25505122,0.048457637,0.68178333,0.96850474,0.059037883
299,0.80907667,0.25559082,0.048346485,0.68089323,0.96775434,0.060395046
300,0.80492537,0.25547187,0.048300695,0.6811765,0.96555999,0.055226573
301,0.8043431,0.25759667,0.04846062,0.67932903,0.96392769,0.053447035
302,0.80926313,0.25818763,0.04865058,0.67881176,0.96235433,0.058793004
303,0.80918894,0.25924951,0.04871911,0.67790412,0.96183861,0.057757805
304,0.80370062,0.26296417,0.049223525,0.67483188,0.96295001,0.051332087
305,0.80691401,0.26477194,0.049377704,0.67345157,0.96328758,0.053423496
306,0.80714494,0.26467816,0.049370316,0.67353378,0.96326848,0.053849263
307,0.81196791,0.26277461,0.049216223,0.67494612,0.96568899,0.060904726
308,0.81165785,0.2626701,0.049077181,0.67499062,0.96746589,0.059511947
309,0.80487053,0.26623256,0.049355131,0.67163692,0.96286767,0.049343333
310,0.80283571,0.26344957,0.049305891,0.67421637,0.96598907,0.046396676
311,0.81012475,0.27072953,0.04959955,0.66870633,0.96382766,0.052726919
312,0.81205142,0.27144493,0.049658612,0.66818308,0.96284817,0.053850425
313,0.81271983,0.27199762,0.049684195,0.66769939,0.96403933,0.053569038
314,0.81346323,0.27351001,0.049867187,0.66645166,0.96262652,0.054098752
315,0.81408076,0.27378207,0.049871215,0.66614823,0.96234107,0.054920576
316,0.81290764,0.26832012,0.049229524,0.67020189,0.96594034,0.055891929
317,0.80779011,0.26188179,0.04897284,0.67602342,0.96729418,0.046523067
318,0.80205288,0.26053416,0.049068459,0.67706414,0.96783182,0.044262272
319,0.80699536,0.25684211,0.048795955,0.67999957,0.96889257,0.05387964
320,0.80710803,0.26013535,0.049017033,0.67705143,0.96503819,0.0529667
321,0.80668124,0.25998456,0.049031704,0.67724142,0.96516931,0.052784073
322,0.80409537,0.25920243,0.048941531,0.67794,0.96486834,0.050019955
323,0.80847807,0.27231152,0.049928469,0.66809929,0.96002054,0.044653363
324,0.81052374,0.27055505,0.049723305,0.66931968,0.961783,0.048751111
325,0.81127929,0.26957955,0.049635085,0.67018827,0.96190261,0.049649595
326,0.81026304,0.26756218,0.049476062,0.67172318,0.96152296,0.050364968
327,0.81396163,0.26686746,0.049702735,0.67185066,0.96675667,0.055783426
328,0.81302492,0.26437987,0.049443557,0.67391998,0.96672208,0.055951889
329,0.81224153,0.26382629,0.04937085,0.6743144,0.96734515,0.055684816
330,0.80916368,0.26449934,0.049444479,0.6739022,0.96587317,0.052309419
331,0.81347537,0.26769433,0.049648318,0.67179032,0.9639096,0.054438643
332,0.81723435,0.26390875,0.049261634,0.67445921,0.96488723,0.062906346
333,0.81667887,0.26024421,0.04903788,0.67775072,0.96669983,0.064790975
334,0.81593655,0.25719034,0.048732445,0.67997203,0.96845518,0.066630058
335,0.81694116,0.25884742,0.048877173,0.67922268,0.96593963,0.063575088
336,0.81669852,0.26025964,0.048947595,0.67792592,0.96552677,0.061812808
337,0.81542705,0.25938675,0.048943352,0.67859939,0.96578966,0.060582991
338,0.81508082,0.25920712,0.049021454,0.67886427,0.96613909,0.05615776
339,0.80588995,0.25915146,0.049027008,0.67872319,0.96623745,0.050470342
340,0.80392998,0.25066239,0.048102565,0.68477249,0.97170628,0.0558859
341,0.8093785,0.25486347,0.04842961,0.68218796,0.96994041,0.055671871
342,0.80900418,0.25441294,0.048391581,0.68256915,0.97014684,0.055551899
343,0.81312212,0.25240117,0.048422787,0.68460759,0.97390467,0.063083846
344,0.81551729,0.27031065,0.049763083,0.66898866,0.96663085,0.056059318
345,0.82250677,0.27562507,0.050166967,0.66531395,0.96294513,0.058062193
346,0.81598081,0.26209566,0.048756991,0.67579412,0.96344102,0.059524232
347,0.81060025,0.26632705,0.049344731,0.67253059,0.96249181,0.050112516
348,0.81622231,0.262818,0.049089612,0.67504481,0.96532395,0.061425246
349,0.81728621,0.26317308,0.049177461,0.67495667,0.96700357,0.060998951
350,0.81636989,0.26369953,0.049241338,0.6744462,0.96690381,0.060016397
351,0.81640821,0.26348966,0.049208569,0.67453386,0.96707222,0.060060735
352,0.81339202,0.26387765,0.049127042,0.67358896,0.96493317,0.058155456
353,0.81507827,0.25817109,0.048901618,0.67838526,0.96582415,0.063752868
354,0.81616203,0.25870188,0.048888805,0.67952684,0.96302924,0.057877112
355,0.81321819,0.25650003,0.048700898,0.68087945,0.96378564,0.057834688
356,0.81436185,0.25795538,0.048846644,0.67983758,0.96394955,0.059757813
357,0.82078648,0.27217933,0.050124418,0.66792573,0.95721385,0.057505604
358,0.82054745,0.26842563,0.04992612,0.67084225,0.95885398,0.059813741
359,0.80772704,0.2588747,0.048792937,0.67727085,0.96337339,0.052517111
360,0.80554721,0.2662051,0.049520466,0.67123258,0.96260356,0.044271232
361,0.80499857,0.26566576,0.049487837,0.67177917,0.96314192,0.043777287
362,0.81247114,0.26540518,0.049445655,0.67203484,0.96470163,0.05138496
363,0.81180073,0.26052624,0.049339455,0.67753679,0.96753021,0.051719095
364,0.81022777,0.26054923,0.049348272,0.67752508,0.96746015,0.051501405
365,0.8131447,0.25905539,0.049157853,0.67849602,0.96889445,0.05786247
366,0.80912735,0.26028697,0.049179922,0.67692678,0.96738055,0.05739975
367,0.81437816,0.26229,0.049330929,0.67581801,0.96656318,0.060958933
