,sigma8,Omega_cdm,Omega_b,h,n_s,tau
30392,0.81489371,0.27531445,0.050166349,0.66599641,0.95825794,0.046612861
30393,0.81617966,0.27515155,0.050100702,0.66584949,0.95882922,0.048779969
30394,0.81966852,0.27942566,0.050505449,0.66260668,0.95465544,0.051314051
30395,0.81446923,0.27641361,0.050275381,0.66476225,0.95454649,0.049427099
30396,0.81526968,0.27823506,0.050449518,0.66295104,0.95510362,0.050899394
30397,0.81534981,0.27859343,0.050478805,0.6626917,0.95487104,0.050759838
30398,0.81755108,0.28388098,0.050772945,0.65828835,0.95830429,0.049164349
30399,0.8254962,0.28203231,0.050838051,0.6606071,0.96066347,0.05375055
30400,0.82479306,0.28618318,0.051136155,0.65760625,0.95930476,0.051868782
30401,0.82510904,0.28495948,0.051063916,0.65887884,0.9600118,0.051647371
30402,0.82513969,0.2850311,0.051070829,0.65880392,0.9600285,0.051702721
30403,0.82467249,0.28270242,0.050722215,0.6602697,0.96118167,0.052801891
30404,0.817764,0.27298534,0.049835006,0.66804254,0.9600852,0.056154578
30405,0.8245952,0.26806039,0.049584224,0.6716009,0.96362609,0.069983908
30406,0.81667647,0.26623563,0.04980442,0.67354658,0.96017632,0.061364958
30407,0.81765621,0.26592915,0.049808805,0.67381527,0.96060625,0.062731052
30408,0.81869568,0.26958072,0.050114427,0.67075715,0.95999065,0.059713867
30409,0.82076367,0.26858608,0.050059221,0.671283,0.96261216,0.064059981
30410,0.82157794,0.28026039,0.050840071,0.66219684,0.95745491,0.055287118
30411,0.82140217,0.27487604,0.050220381,0.66627235,0.96097227,0.056718836
30412,0.81895011,0.27533533,0.050155916,0.66584502,0.96208709,0.054514942
30413,0.81377116,0.26362652,0.048890179,0.67382145,0.96400059,0.059930294
30414,0.81376531,0.26365002,0.048893747,0.67382475,0.96402342,0.05984304
30415,0.81307808,0.26393733,0.049008209,0.67384187,0.96150333,0.058270639
30416,0.80701279,0.26338601,0.049138581,0.67430348,0.96288466,0.052448646
30417,0.80916759,0.26400912,0.049224292,0.67398816,0.9633822,0.053980252
30418,0.81043742,0.25773787,0.048551259,0.67922194,0.96738793,0.05991431
30419,0.81236497,0.26475202,0.049176408,0.67395439,0.96368878,0.05656626
30420,0.80728442,0.26437312,0.049251005,0.67400698,0.96050987,0.053107053
30421,0.80688073,0.26408069,0.049203033,0.67421203,0.96066883,0.052648249
30422,0.80470335,0.26281668,0.04914165,0.67535243,0.96075162,0.051094351
30423,0.80489186,0.26260443,0.049122017,0.67551311,0.96086416,0.051464937
30424,0.80635941,0.26563981,0.049289539,0.67288247,0.95874611,0.051511944
30425,0.80516702,0.26591476,0.049306553,0.67261851,0.95818835,0.050499931
30426,0.80460466,0.26605921,0.04933632,0.67254784,0.95810571,0.0497823
30427,0.8037802,0.26188314,0.048896819,0.67592674,0.9647984,0.050977265
30428,0.79367005,0.25275206,0.048107563,0.68266227,0.96656911,0.044683952
30429,0.79459273,0.26348655,0.049383215,0.67498301,0.96103372,0.033285141
30430,0.79735011,0.26796098,0.049791309,0.67176725,0.95770687,0.033705381
30431,0.80045668,0.26903202,0.049801158,0.6704283,0.95801506,0.038285101
30432,0.80225046,0.26658865,0.04954604,0.67173201,0.9611749,0.043927918
30433,0.80868924,0.26549348,0.049380011,0.67258151,0.95976164,0.05157042
30434,0.80860215,0.26602391,0.049462243,0.67213582,0.95902753,0.051398264
30435,0.80645743,0.27052208,0.049666107,0.66805252,0.95606588,0.04655263
30436,0.80838785,0.27151306,0.049759783,0.66744581,0.9569912,0.046702513
30437,0.80840388,0.27006179,0.049763911,0.66832939,0.96017025,0.049185564
30438,0.80974129,0.26991181,0.049745644,0.66842098,0.96016767,0.050944521
30439,0.8118183,0.25994074,0.048993185,0.67696795,0.96574361,0.058348809
30440,0.81307394,0.2601998,0.048996763,0.67669465,0.96550696,0.059039136
30441,0.81905249,0.26049829,0.049220547,0.67694226,0.96828927,0.064204751
30442,0.81667783,0.25871443,0.049166101,0.67859508,0.96810399,0.064362247
30443,0.81867022,0.26202308,0.049374335,0.67602763,0.96867028,0.063952241
30444,0.80595919,0.26128848,0.049156771,0.67642273,0.96653333,0.053584778
30445,0.80614521,0.26277177,0.049295078,0.67523808,0.96533874,0.052778873
30446,0.80733123,0.26349839,0.04931846,0.67469531,0.96452194,0.05289617
30447,0.80940534,0.26477137,0.049443329,0.67358388,0.96623978,0.055252209
30448,0.81090638,0.26963087,0.049709005,0.66989271,0.96548537,0.051602261
30449,0.8134357,0.26949855,0.049610802,0.66924757,0.96640246,0.053093808
30450,0.8144632,0.2689819,0.049604885,0.66977785,0.9668172,0.054368473
30451,0.81125726,0.26451114,0.049259236,0.67321878,0.96909128,0.056637565
30452,0.81065056,0.26385309,0.049215331,0.67372736,0.96924804,0.056252159
30453,0.81014306,0.26643465,0.049405635,0.67126288,0.96783874,0.052336979
30454,0.81117279,0.26659399,0.049432152,0.67120607,0.96753631,0.05374494
30455,0.80354587,0.26480647,0.049141272,0.6725054,0.96390337,0.047356039
30456,0.80609068,0.26383119,0.049087291,0.67334877,0.96306361,0.050604046
30457,0.80542017,0.26261614,0.049004028,0.674416,0.96377113,0.049881523
30458,0.80532065,0.26213149,0.048954877,0.67477177,0.96383399,0.050328481
30459,0.80674759,0.26297033,0.049009217,0.67408499,0.96354871,0.051363803
30460,0.80683999,0.26276807,0.048990747,0.67426317,0.96366945,0.051502432
30461,0.81003136,0.26223847,0.049113751,0.67523266,0.96165849,0.053869481
30462,0.81137171,0.26558064,0.049288635,0.67238002,0.96467062,0.049530375
30463,0.81130471,0.2655162,0.049278108,0.67249275,0.96455075,0.049245371
30464,0.80210237,0.26316984,0.049022701,0.67462329,0.9685748,0.043514523
30465,0.80241378,0.26213161,0.048812947,0.67498092,0.96521184,0.048686997
30466,0.80770486,0.26564312,0.049023013,0.67229746,0.96555256,0.050846614
30467,0.80949294,0.25839615,0.048482909,0.67874722,0.96737365,0.054958732
30468,0.81291969,0.26654598,0.049049314,0.67186876,0.9630419,0.053246095
30469,0.81408264,0.2700125,0.049417932,0.66935757,0.96097547,0.051731598
30470,0.81722852,0.27333125,0.04966985,0.66641662,0.96240096,0.052603284
30471,0.81720145,0.27344576,0.049674819,0.66631723,0.96231773,0.052518702
30472,0.81838099,0.27283628,0.049618167,0.66686702,0.96217598,0.05454807
30473,0.81524477,0.27210492,0.049549885,0.6668821,0.96038924,0.054469204
30474,0.81423316,0.27377436,0.049854072,0.66595377,0.96091642,0.054053315
30475,0.81419008,0.26931288,0.049724644,0.66927361,0.96356823,0.056121556
30476,0.81761342,0.25853666,0.04865853,0.67765638,0.96714719,0.067238143
30477,0.82306449,0.27600585,0.050159665,0.6639747,0.95774442,0.060362196
30478,0.82292709,0.27489987,0.050059764,0.66528597,0.95601658,0.061351436
30479,0.82254679,0.28026934,0.050608337,0.66087367,0.9564825,0.057761013
