,sigma8,Omega_cdm,Omega_b,h,n_s
18406,0.80823738,0.26961826,0.049835478,0.67008351,0.96050753
18407,0.80699882,0.26528606,0.04931236,0.67318169,0.96188892
18408,0.80429725,0.26320949,0.049199995,0.67469774,0.9641959
18409,0.80642429,0.26324162,0.049186247,0.67480678,0.96352994
18410,0.81060622,0.27167947,0.050000592,0.6680131,0.95894566
18411,0.80864913,0.27158742,0.049978865,0.66804479,0.95745463
18412,0.81396506,0.27376083,0.050028865,0.66608373,0.95887527
18413,0.81314386,0.27286042,0.049964983,0.6667987,0.95871407
18414,0.81174393,0.26220799,0.049143525,0.67570784,0.96149725
18415,0.81045442,0.26197827,0.049138277,0.67585352,0.96188582
18416,0.81008414,0.26186472,0.049128256,0.67601676,0.96205724
18417,0.81046631,0.26069478,0.048979262,0.67656091,0.96166659
18418,0.81226796,0.26070541,0.048995424,0.67652746,0.96153876
18419,0.81438917,0.26114441,0.049098703,0.67593312,0.96142643
18420,0.82316544,0.26178859,0.049126267,0.67588389,0.96643247
18421,0.82317961,0.26171211,0.049119763,0.67594626,0.96648511
18422,0.81192499,0.26312735,0.049112229,0.67564705,0.96247225
18423,0.81248848,0.26500355,0.049270228,0.67432348,0.96315107
18424,0.81578157,0.25651678,0.048605316,0.67965215,0.97074941
18425,0.81215047,0.25521048,0.048325221,0.68001601,0.97067012
18426,0.81200385,0.25537634,0.048375931,0.67987128,0.97040197
18427,0.81038886,0.25505257,0.048283764,0.68081356,0.97159313
18428,0.80951366,0.25408219,0.048171055,0.68181645,0.97200582
18429,0.81617512,0.26277829,0.049198738,0.67557642,0.96781711
18430,0.81728135,0.26209132,0.049129774,0.67612965,0.96741599
18431,0.82237187,0.266935,0.049470612,0.67275463,0.9639591
18432,0.82235262,0.26667962,0.049453638,0.67298134,0.96410492
18433,0.82296852,0.26538833,0.04934152,0.67411089,0.96485156
18434,0.82334874,0.26451128,0.049253635,0.67468403,0.96521458
18435,0.82427384,0.26709135,0.049455159,0.6727592,0.96539122
18436,0.82006075,0.26504783,0.049277685,0.674432,0.96542749
18437,0.810479,0.26424976,0.049207339,0.67433518,0.96287828
18438,0.8158986,0.26181004,0.048879963,0.67536521,0.96228315
18439,0.80704124,0.2563571,0.048583473,0.68059671,0.96526581
18440,0.80838734,0.25100087,0.047904644,0.68392987,0.96951544
18441,0.81337468,0.27141983,0.049533973,0.66789549,0.96231341
18442,0.81127669,0.27125468,0.049486432,0.66779618,0.96152385
18443,0.81109332,0.27299554,0.04964819,0.66700905,0.96071393
18444,0.81630901,0.26763957,0.04941865,0.67163168,0.96730721
18445,0.81433546,0.27472733,0.050376741,0.66646961,0.9621399
18446,0.8123191,0.27487211,0.050469271,0.66611502,0.96002714
18447,0.81576143,0.26099475,0.048885367,0.67567845,0.9672402
18448,0.80934398,0.25390046,0.048343333,0.6819109,0.96613747
18449,0.8092293,0.25432238,0.048376039,0.68182426,0.9672062
18450,0.8113787,0.25299197,0.048310419,0.68306818,0.97002364
18451,0.81365695,0.25392548,0.048397147,0.68238676,0.96908422
18452,0.81643842,0.25362438,0.04838402,0.68277488,0.96963508
18453,0.81566706,0.25299978,0.048303256,0.68315119,0.97048076
18454,0.80542445,0.25609569,0.048619583,0.68064563,0.97026499
18455,0.80864432,0.25697753,0.048694178,0.68002749,0.97027526
18456,0.81414215,0.26610544,0.049367927,0.67296983,0.96845268
18457,0.81380649,0.26489812,0.049303891,0.67402271,0.96809222
18458,0.80392887,0.26209318,0.049064918,0.67531577,0.96853204
18459,0.80354592,0.26230574,0.049081766,0.67504445,0.9690333
18460,0.80305924,0.26334157,0.049140096,0.67408658,0.96902787
18461,0.81581738,0.27043509,0.049739397,0.66988658,0.96677978
18462,0.8156614,0.2694183,0.049659835,0.67070224,0.96747844
18463,0.80648251,0.26996026,0.049911409,0.67018265,0.96308732
18464,0.80432509,0.26033536,0.049046965,0.67782233,0.96390163
18465,0.81813747,0.26052097,0.049182224,0.6776161,0.96007552
18466,0.81813836,0.2605275,0.049183383,0.67761111,0.96005002
18467,0.81409152,0.25946537,0.048831942,0.67754321,0.9628509
18468,0.80938875,0.2660883,0.049278875,0.67156787,0.96191899
18469,0.80898586,0.26578994,0.049223489,0.67177269,0.96209784
18470,0.80751606,0.26265868,0.04900665,0.67435112,0.9628153
18471,0.80951738,0.26390746,0.049091549,0.67336576,0.96153315
18472,0.8146247,0.26096548,0.048848194,0.67558267,0.96767431
