,sigma8,Omega_cdm,Omega_b,h,n_s
0,0.7914658154672346,0.1736747381535978,0.04086479416056244,0.7844984822189618,0.9790415904971553
1,0.7684718577719485,0.3921163988159194,0.04547677038287729,0.7214640425308525,0.9351541969538711
2,0.8039974409730236,0.2790687379352334,0.045251384240304685,0.6492136164087858,1.010002151839988
3,0.7216828247766173,0.19828821750962092,0.04863107884270656,0.6997273882403918,1.045346564788492
4,0.7830233780719865,0.2992212390467487,0.03899172971652398,0.7034940119453684,0.9246124553634946
5,0.7924484630669041,0.190934957174016,0.061351608402231285,0.6407088390698911,1.0634316734311011
6,0.827578981942101,0.22617515952572065,0.03374101359456943,0.7554861693775374,0.9374754998150724
7,0.8255079649568061,0.1558982472629455,0.035665323280626215,0.7964934124313395,0.9992902417303222
8,0.7653378131789348,0.33011978665540137,0.03743584320727427,0.8159188386775122,0.9253311390398304
9,0.7642020254600563,0.3030523010307585,0.042101447983574555,0.767638610250324,0.928842181767013
10,0.7891378533842821,0.23038342090238711,0.042887401315894566,0.6948995233873895,0.9698138712146049
11,0.7954362733563672,0.29389214802595803,0.043044804844795434,0.6654831011606378,0.9406923512475999
12,0.8157879168627445,0.22869061919565048,0.03831738149641237,0.797984180296595,1.030439273086278
13,0.8079410941375703,0.27082613137220374,0.05475338023452317,0.6654049547440578,1.0838315119021407
14,0.824634508694798,0.25957429457026454,0.049874576308598116,0.6726295708949136,1.0383442185342662
15,0.8025249956105934,0.3102876291828016,0.05461922569051401,0.6612204678600313,1.0881323446047262
16,0.7684829603011027,0.36591451405781317,0.05298753383648605,0.6589418751270458,1.005791319148368
17,0.7769568102211579,0.3345045787514007,0.04418265501252228,0.7452813417000443,0.9585637715873825
18,0.7925021357311615,0.26193703766462545,0.05000123701866095,0.7209480964837238,1.0028605715396166
19,0.7822340068896945,0.2973046198895603,0.03442557144665811,0.7955050057562705,0.9116484979101568
20,0.8057951698203558,0.16798202477680482,0.036954880276794916,0.7850507309832002,0.9416454164550555
21,0.7837277069338225,0.2810016301616441,0.05211877081809413,0.6728875925281835,1.0973942283708424
22,0.7818274222284222,0.23573403903410864,0.03836124681886378,0.71372450056658,0.938804903360156
23,0.8466537562705434,0.16638739925816837,0.039696834636928795,0.7575438842886633,1.0755071085153725
24,0.7690029463470265,0.2750827451555624,0.035706659789262546,0.7315905247452736,1.0075306250167164
25,0.8450143455438207,0.21834249514958423,0.03514977988432388,0.793767420871746,1.0438244100826586
26,0.8013424346449225,0.1858627214749904,0.034768010854640964,0.776353266354288,1.0557988516516912
27,0.7791233803391994,0.27107951824202614,0.04304072295718445,0.7156121444806061,0.9611997795689375
28,0.7313009561955757,0.2236869652471768,0.039345821808199344,0.7360287866882637,0.9788083635706164
29,0.7735073214534656,0.269352048767124,0.03949088296865846,0.802157428717913,0.8824090541124172
30,0.7480836592043225,0.329273399365109,0.04733348300808017,0.6725754299022328,0.8468991856667754
31,0.7839056855362565,0.1764868445540832,0.05869128565165809,0.6447025399288862,1.0800372276149763
32,0.779328208200369,0.33515834777030173,0.04641325429352585,0.693530648464852,0.9951699878539138
33,0.8171879036449923,0.19214338004661866,0.039466600169186614,0.7518925342975813,1.062280240983003
34,0.8028662804142442,0.18340625254890408,0.03287829296029711,0.7609362873308763,0.8843222159815353
35,0.8183749879420715,0.1508342799123556,0.03658977306820813,0.8137347919744043,0.9960073506504349
36,0.7611181985027891,0.19061610128658066,0.03349522466427634,0.7919683410166417,0.9147130786627091
37,0.8171719698975506,0.2215418228697344,0.04081732283196662,0.7965792451601562,1.0261410151562231
38,0.8057048750831703,0.2210738625827156,0.04371989022723597,0.7654387463098996,1.0917870999910875
39,0.7903709297789022,0.18644366941572343,0.04805081470842745,0.7040422822590637,1.037220825634241
40,0.7929905146961919,0.19087713525063554,0.031174074423641784,0.78156533676389,1.0917929831313384
41,0.7904738743681683,0.1826126066506251,0.03632178631888355,0.8041332766627237,0.8611224898979726
42,0.772926858357319,0.351489609000501,0.04584559226083377,0.6696234892093593,0.885720288408776
43,0.8000301312527887,0.2801911446428639,0.03689756600443852,0.7981985700171752,1.0194114232559406
44,0.7763936886584569,0.37060419094475994,0.04058228222271144,0.7517633885353958,0.8954132475540564
45,0.8100789439029293,0.1717571333935918,0.03887625770162884,0.7845865245885026,1.0062796080298044
46,0.8127279077028916,0.16629463127990485,0.04026808394225912,0.7661654338175455,0.9944402787786234
47,0.7795912768720937,0.40263018868045053,0.04437924684027556,0.6623494761837573,0.9844056055950693
48,0.7875568825019362,0.3137468951369704,0.04024104354025803,0.783262320800509,0.9891790230458609
49,0.7648636185922493,0.25637895180219117,0.040959954943197596,0.7750288748877248,0.8863594516513141
50,0.768141558090335,0.32600139290860314,0.044753139582897054,0.6854810096074022,0.957631990373843
51,0.7754196165534188,0.26478936252018476,0.03905184242244352,0.7744113944507971,1.0777878201081512
52,0.8091072197913673,0.3235969454550069,0.050732289604316694,0.6424349123685431,1.0493416882597637
53,0.8213518190346605,0.22731156954544945,0.02951595924859661,0.808929909630079,0.9671538125528973
54,0.7953994310417689,0.31622981066318356,0.03127192048091766,0.796609249549104,0.923461677262886
55,0.7818757079264742,0.2998044409392138,0.05892964356318939,0.6607795978285892,1.0223828307592369
56,0.6937958314218878,0.21066572797624045,0.04073706972367315,0.755168726637817,1.0036221184411647
57,0.7684829282677803,0.2550072423398567,0.0437869929094946,0.7631625855490991,0.9118565125241389
58,0.8363198005699677,0.18331685711244577,0.03588107994998404,0.793614546320421,1.0819387338491309
59,0.7664302557297807,0.3046222185059953,0.03675353013421883,0.7201225807882868,0.9306858495142204
60,0.7603224042771282,0.2996525359399027,0.05180437874787878,0.6814961512686508,0.859734673785403
61,0.7758188311631339,0.2477189980960041,0.05239809623953021,0.6641869100298743,1.0208005914265543
62,0.7512996631212951,0.301059171413212,0.04405447299451002,0.6578946013743262,0.9177283880401396
63,0.7813953853203294,0.2593367880050967,0.03928908157710934,0.8107189241045399,0.8772573880673527
64,0.7723188605732778,0.32002758013321275,0.04194425781963621,0.7085101672738766,1.0785649707746683
65,0.8012514790830498,0.21304967089579122,0.04508398739417385,0.7480998385085663,0.9672955023282246
66,0.7701071292469616,0.26685785885068986,0.03323294361972997,0.7781600742742757,0.9943307932523581
67,0.7933304232974601,0.2008214280538442,0.038531303167278826,0.7241793645053638,1.0307370179681499
68,0.7756400081384504,0.4165512727696671,0.05037547574382651,0.7017914064833082,0.9180631268235133
69,0.7837106579594205,0.18771327915674216,0.0342245896503474,0.8042196566794791,1.086569344227431
70,0.8257526403492436,0.2492182612299316,0.028503452388253234,0.8170722211594605,1.0440270218597267
71,0.8064691888495843,0.2402770722811202,0.03373595600207662,0.7553105228245829,0.8905205180010664
72,0.8185671624510596,0.20744298666171757,0.039074658702444996,0.7125672046607885,1.0763060003794016
73,0.8102610154657406,0.1729268766928075,0.052015554216113494,0.68897612377198,1.0811789789657118
74,0.7808397207008394,0.34279707394698633,0.04836273042639887,0.6400370261008272,0.9253551917224543
75,0.7957878142192502,0.2987497826228788,0.03663813959492199,0.8060036428010163,0.8635940865400665
76,0.8067615349103385,0.28117112770086555,0.049886516154465384,0.6751067951102572,1.0264959898316977
77,0.7584782846153226,0.41835870394396996,0.054104256741549686,0.6468836023877695,1.0695617360991176
78,0.8032006962833934,0.31717834406099693,0.052969222568570375,0.6790200190492788,0.9185459155021558
79,0.7679510450631261,0.2617569590511558,0.039337100198371916,0.7396115165509412,1.090996699023058
80,0.8080882878945527,0.19455576700359717,0.038763598971528805,0.8035967442640254,0.9577219772290964
81,0.7789819895531556,0.23289299601662036,0.03952435784773433,0.8041405701838115,1.0471767808870498
82,0.7979365753437987,0.21691096954241568,0.051217600922675716,0.6547804600110011,1.090687883039664
83,0.8202300387921443,0.14182841711684852,0.03728147391820162,0.81975032473373,1.0736693278863765
84,0.7635886218890902,0.4163110657386452,0.038927372100283374,0.7309299264483616,0.8453514662273108
85,0.7600191611969586,0.4198394388105973,0.043290696699982506,0.671463813622374,0.9422383310196253
86,0.8271315778205722,0.1571301663970475,0.03692084388953736,0.7507923259152165,1.0040736633576484
87,0.796408961070437,0.2151198923172307,0.03976489443496191,0.7138724098103374,0.9253793300404778
88,0.7381691078573618,0.3430385449303368,0.03826089201499345,0.7609307647781752,0.9159568382391994
89,0.7822157561411615,0.3179012429926646,0.04968864702516576,0.667111216112754,0.9653426818988029
90,0.7979457282860764,0.1746762412962547,0.039450352764949216,0.8072168126854707,0.8677848857560018
91,0.8021279801113658,0.291833119145295,0.04747092459289772,0.6814182529283742,1.076582058920533
92,0.7831923771697467,0.26386993900530165,0.039766701046100195,0.6916227445779954,0.87175135806493
93,0.7751925635765833,0.25939920193458194,0.035101650336531516,0.7576503161487299,0.8654997825820216
94,0.8057683256270379,0.27003751640481827,0.04372268519589406,0.6934928824394447,1.075545874347951
95,0.8226753005410216,0.2247072564937933,0.03456272899720262,0.8164923552465256,0.9296501402863021
96,0.8189655983391897,0.20751681882320264,0.030946141085917044,0.788007011803342,0.961497165312999
97,0.8248845860523699,0.26947083378166514,0.036284663606665706,0.7618985840095922,1.0307753580362273
